TEMP*               1012          184532  2.4574806E+01
TEMP*               1012          184533  2.5157373E+01
TEMP*               1012          184534  2.5895607E+01
TEMP*               1012          184535  2.6624722E+01
TEMP*               1012          184536  2.4780905E+01
TEMP*               1012          184537  2.5346958E+01
TEMP*               1012          184538  2.6176109E+01
TEMP*               1012          184539  2.6993706E+01
TEMP*               1012          184540  2.6503664E+01
TEMP*               1012          184541  2.5819111E+01
TEMP*               1012          184542  2.5103825E+01
TEMP*               1012          184543  2.4532347E+01
TEMP*               1012          184544  2.4285631E+01
TEMP*               1012          184545  2.4519255E+01
TEMP*               1012          184546  2.6994904E+01
TEMP*               1012          184547  2.7358719E+01
TEMP*               1012          184548  2.7279818E+01
TEMP*               1012          184549  2.6415352E+01
TEMP*               1012          184550  2.5522076E+01
TEMP*               1012          184551  2.4973751E+01
TEMP*               1012          184552  2.4228374E+01
TEMP*               1012          184553  2.6854317E+01
TEMP*               1012          184554  2.4738131E+01
TEMP*               1012          184555  2.7617512E+01
TEMP*               1012          184556  2.4658730E+01
TEMP*               1012          184557  2.5234352E+01
TEMP*               1012          184558  2.6070801E+01
TEMP*               1012          184559  2.6846476E+01
TEMP*               1012          184560  2.4441313E+01
TEMP*               1012          184561  2.5013060E+01
TEMP*               1012          184562  2.5802797E+01
TEMP*               1012          184563  2.6514053E+01
TEMP*               1012          184564  2.6391376E+01
TEMP*               1012          184565  2.5721216E+01
TEMP*               1012          184566  2.4964334E+01
TEMP*               1012          184567  2.4401091E+01
TEMP*               1012          184568  2.4429621E+01
TEMP*               1012          184569  2.4199200E+01
TEMP*               1012          184570  2.7198433E+01
TEMP*               1012          184571  2.6838110E+01
TEMP*               1012          184572  2.7097357E+01
TEMP*               1012          184573  2.6293772E+01
TEMP*               1012          184574  2.5440752E+01
TEMP*               1012          184575  2.4868099E+01
TEMP*               1012          184576  2.6701544E+01
TEMP*               1012          184577  2.4138962E+01
TEMP*               1012          184578  2.4643967E+01
TEMP*               1012          184579  2.7454777E+01
TEMP*               1012          184580  1.8275434E+01
TEMP*               1012          184581  1.8693968E+01
TEMP*               1012          184582  1.9074259E+01
TEMP*               1012          184583  1.9661610E+01
TEMP*               1012          184584  2.0421045E+01
TEMP*               1012          184585  2.0354406E+01
TEMP*               1012          184586  2.3270517E+01
TEMP*               1012          184587  2.2497013E+01
TEMP*               1012          184588  2.2295885E+01
TEMP*               1012          184589  2.2977797E+01
TEMP*               1012          184590  2.3375696E+01
TEMP*               1012          184591  2.3683491E+01
TEMP*               1012          184592  2.3803858E+01
TEMP*               1012          184593  2.3745285E+01
TEMP*               1012          184594  2.3897154E+01
TEMP*               1012          184595  2.3886578E+01
TEMP*               1012          184596  2.3858570E+01
TEMP*               1012          184597  2.3332462E+01
TEMP*               1012          184598  2.2467634E+01
TEMP*               1012          184599  2.1846014E+01
TEMP*               1012          184600  2.1729420E+01
TEMP*               1012          184601  2.1622795E+01
TEMP*               1012          184602  2.1516155E+01
TEMP*               1012          184603  2.1813395E+01
TEMP*               1012          184604  1.7706554E+01
TEMP*               1012          184605  1.7795946E+01
TEMP*               1012          184606  1.8193790E+01
TEMP*               1012          184607  1.8551037E+01
TEMP*               1012          184608  1.8892132E+01
TEMP*               1012          184609  1.9293411E+01
TEMP*               1012          184610  2.0046934E+01
TEMP*               1012          184611  2.0290207E+01
TEMP*               1012          184612  2.0460663E+01
TEMP*               1012          184613  2.0554375E+01
TEMP*               1012          184614  2.0541023E+01
TEMP*               1012          184615  2.0505163E+01
TEMP*               1012          184616  2.0496035E+01
TEMP*               1012          184617  2.0559748E+01
TEMP*               1012          184618  2.0665327E+01
TEMP*               1012          184619  1.7059425E+01
TEMP*               1012          184620  1.7081747E+01
TEMP*               1012          184621  1.7503246E+01
TEMP*               1012          184622  1.7888496E+01
TEMP*               1012          184623  1.8243582E+01
TEMP*               1012          184624  1.8633251E+01
TEMP*               1012          184625  1.9091347E+01
TEMP*               1012          184626  1.9441952E+01
TEMP*               1012          184627  1.9860437E+01
TEMP*               1012          184628  2.0277393E+01
TEMP*               1012          184629  1.3720191E+01
TEMP*               1012          184630  1.4572842E+01
TEMP*               1012          184631  1.5501257E+01
TEMP*               1012          184632  1.6512491E+01
TEMP*               1012          184633  1.7556046E+01
TEMP*               1012          184634  1.3991174E+01
TEMP*               1012          184635  1.4821239E+01
TEMP*               1012          184636  1.5767437E+01
TEMP*               1012          184637  1.6769501E+01
TEMP*               1012          184638  1.7761070E+01
TEMP*               1012          184639  1.3801010E+01
TEMP*               1012          184640  1.4603201E+01
TEMP*               1012          184641  1.5719739E+01
TEMP*               1012          184642  1.7098284E+01
TEMP*               1012          184643  1.8589113E+01
TEMP*               1012          184644  1.9656349E+01
TEMP*               1012          184645  2.0443209E+01
TEMP*               1012          184646  1.8543716E+01
TEMP*               1012          184647  1.8474461E+01
TEMP*               1012          184648  1.8258821E+01
TEMP*               1012          184649  1.7825224E+01
TEMP*               1012          184650  2.0355213E+01
TEMP*               1012          184651  1.9211061E+01
TEMP*               1012          184652  1.9708055E+01
TEMP*               1012          184653  1.8870207E+01
TEMP*               1012          184654  1.9273722E+01
TEMP*               1012          184655  1.9125530E+01
TEMP*               1012          184656  1.9640093E+01
TEMP*               1012          184657  2.0134197E+01
TEMP*               1012          184658  1.6521194E+01
TEMP*               1012          184659  1.6896633E+01
TEMP*               1012          184660  1.7479216E+01
TEMP*               1012          184661  1.7831331E+01
TEMP*               1012          184662  1.7250937E+01
TEMP*               1012          184663  1.7773199E+01
TEMP*               1012          184664  1.7156158E+01
